Value,Parameter
60.0,CaMKII_i
290.0,CaM_i
1000.0,Ca_i
1e-08,D_SURF
1e-06,D_VOL
10000000.0,ITERATIONS
1e-08,MCELL_DIFFUSION_CONSTANT_2D_NMDAR
1e-06,MCELL_DIFFUSION_CONSTANT_3D_Ca
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaM
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaMKII
1e-06,MCELL_DIFFUSION_CONSTANT_3D_PP1
1.0,NA_um3
30.0,NMDAR_i
12.0,PP1_i
1.0,VOL_RXN
0.50588,VolCP
0.0307,VolPM
0.96,k_P_CaMKII286
0.02,k_P_CaMKII306
20.0,k_cat
2040.0,koff_1CaCaM
0.39,koff_2CaCaM
742.0,koff_3CaCaM
980.0,koff_4CaCaM
0.03,koff_CaMKII_NMDAR
0.004,koff_CaM_Ca4_CaMKII
10000000.0,koff_camkii_close
257000000.0,kon_1_CaCaM
229000.0,kon_2_CaCaM
21400000.0,kon_3_CaCaM
110000000.0,kon_4_CaCaM
200000.0,kon_CaMKII_NMDAR
150000000.0,kon_CaM_Ca4_CaMKII
20000.0,kon_camkii_open
